county_fips,county_name,region,pollution_burden,traffic_density,pm25,diesel_pm,disadvantaged_share,vmt_gap_index,ghg_per_capita
06019,Fresno,Central Valley,86,9100,13.8,1.9,0.74,8.2,6.4
06077,San Joaquin,Central Valley,82,8600,13.1,1.8,0.70,7.8,6.1
06031,Kings,Central Valley,80,8200,12.8,1.7,0.68,7.5,5.9
06039,Madera,Central Valley,78,7900,12.4,1.6,0.65,7.1,5.7
06047,Merced,Central Valley,81,8400,13.0,1.7,0.71,7.9,6.0
06099,Stanislaus,Central Valley,79,8100,12.6,1.6,0.67,7.3,5.8
06107,Tulare,Central Valley,84,8800,13.5,1.8,0.73,8.0,6.3
06071,San Bernardino,Inland Empire,88,9600,14.1,2.0,0.77,9.1,6.8
06065,Riverside,Inland Empire,85,9200,13.7,1.9,0.73,8.7,6.5
06037,Los Angeles,Los Angeles,76,8100,12.4,1.5,0.58,6.4,5.5
06059,Orange,Los Angeles,68,7200,11.2,1.3,0.44,4.8,4.9
06111,Ventura,Los Angeles,65,6800,10.8,1.2,0.40,4.5,4.7
06073,San Diego,San Diego,63,6400,10.3,1.1,0.38,4.2,4.5
06001,Alameda,Bay Area,64,6200,10.4,1.2,0.41,4.6,4.6
06013,Contra Costa,Bay Area,61,5900,10.0,1.1,0.37,4.1,4.4
06075,San Francisco,Bay Area,56,5400,9.4,1.0,0.30,3.2,3.8
06081,San Mateo,Bay Area,55,5200,9.1,0.9,0.28,3.0,3.7
06085,Santa Clara,Bay Area,59,5700,9.8,1.1,0.36,3.8,4.2
06097,Sonoma,Bay Area,53,5000,8.9,0.9,0.26,2.9,3.5
06095,Solano,Bay Area,62,6000,10.1,1.2,0.39,4.3,4.5
06067,Sacramento,Sacramento,71,7500,11.8,1.4,0.52,5.9,5.2
06113,Yolo,Sacramento,66,6700,10.9,1.2,0.43,5.1,4.8
06017,El Dorado,Sacramento,58,5600,9.6,1.0,0.34,3.5,4.0
06061,Placer,Sacramento,57,5500,9.4,1.0,0.32,3.3,3.9
06101,Sutter,Sacramento,69,7100,11.4,1.3,0.48,5.5,5.0
