zcta,region,lat,lon,pollution_burden,traffic_density,pm25,diesel_pm,disadvantaged_share,vmt_gap_index,ghg_per_capita
90001,Los Angeles,33.97,-118.24,85.0,8292,14.51,2.11,0.741,5.0,4.77
90011,Los Angeles,34.0,-118.25,87.7,7795,13.92,1.97,0.813,4.8,2.89
90012,Los Angeles,34.06,-118.23,62.8,7656,10.57,1.85,0.424,2.5,2.72
90210,Los Angeles,34.09,-118.4,77.7,8601,12.39,2.24,0.585,1.9,1.68
90291,Los Angeles,33.99,-118.45,74.0,8062,13.03,2.11,0.56,3.1,2.89
90022,Los Angeles,34.02,-118.15,67.8,8813,10.5,2.3,0.684,1.1,0.93
91331,Los Angeles,34.25,-118.42,78.8,8048,12.47,2.02,0.815,1.8,1.6
90044,Los Angeles,33.95,-118.28,62.4,8986,10.02,2.42,0.664,3.4,3.2
90650,Los Angeles,33.9,-118.08,71.6,8036,12.23,2.01,0.626,4.5,3.04
91402,Los Angeles,34.22,-118.44,68.0,9718,11.17,2.64,0.649,6.0,4.5
92404,Inland Empire,34.13,-117.27,83.6,8307,14.32,1.64,0.835,6.9,5.59
92335,Inland Empire,34.09,-117.43,77.0,6137,12.44,1.8,0.841,3.0,2.16
92503,Inland Empire,33.93,-117.42,71.9,5247,11.95,1.44,0.699,8.8,7.11
92883,Inland Empire,33.78,-117.5,89.7,4946,14.26,1.2,0.837,6.3,5.21
92201,Inland Empire,33.71,-116.22,80.1,5648,12.8,1.56,0.64,4.2,3.25
92231,Inland Empire,32.67,-115.49,84.0,8829,13.73,2.25,0.564,7.3,5.87
92101,San Diego,32.71,-117.16,60.6,9694,10.24,2.43,0.429,3.7,3.54
92113,San Diego,32.69,-117.11,67.5,7186,11.83,1.66,0.666,2.6,3.2
92114,San Diego,32.7,-117.08,50.1,5150,8.26,1.22,0.458,4.1,2.79
92154,San Diego,32.7,-117.05,64.7,4620,10.32,1.36,0.664,6.3,4.44
91910,San Diego,32.63,-117.06,62.3,7960,10.43,2.14,0.639,1.6,0.65
92058,San Diego,33.22,-117.34,46.8,6782,8.14,1.93,0.353,4.4,3.67
94102,Bay Area,37.78,-122.41,62.9,4928,10.68,1.25,0.632,6.8,4.95
94103,Bay Area,37.77,-122.41,67.9,7737,11.66,2.13,0.693,2.8,3.16
94110,Bay Area,37.74,-122.41,57.5,4869,9.22,1.46,0.552,2.7,2.27
94124,Bay Area,37.73,-122.38,68.3,6019,11.11,2.25,0.677,6.2,4.52
94601,Bay Area,37.77,-122.21,49.3,6723,8.75,1.94,0.436,3.7,2.51
94621,Bay Area,37.75,-122.19,44.9,5330,7.83,1.32,0.421,5.3,4.42
94801,Bay Area,37.94,-122.37,51.2,6230,8.1,1.82,0.517,4.1,3.81
95116,Bay Area,37.35,-121.84,70.5,3933,11.84,1.39,0.686,2.6,4.0
95122,Bay Area,37.33,-121.82,65.7,7703,11.18,1.98,0.667,5.4,3.96
94565,Bay Area,38.01,-121.87,57.6,5271,10.8,1.18,0.587,4.1,2.49
93706,Central Valley,36.73,-119.82,75.3,7633,11.75,1.88,0.745,7.1,5.34
93725,Central Valley,36.72,-119.74,82.2,6068,14.4,1.84,0.537,5.7,4.65
93702,Central Valley,36.73,-119.78,73.4,7278,11.95,2.06,0.747,5.4,3.73
93307,Central Valley,35.33,-118.96,76.7,5287,13.38,1.64,0.564,5.7,5.01
93257,Central Valley,35.63,-119.24,100.0,7548,15.76,2.26,0.829,4.0,3.39
93612,Central Valley,36.81,-119.69,87.7,4609,12.54,1.22,0.764,6.9,4.88
93291,Central Valley,36.33,-119.3,96.3,3854,15.51,1.56,0.723,6.1,5.48
95205,Central Valley,37.95,-121.25,80.1,4527,13.11,1.29,0.728,7.9,6.15
95350,Central Valley,37.96,-121.28,81.1,6993,12.55,2.33,0.535,10.2,8.06
95823,Sacramento,38.48,-121.43,65.9,6421,10.78,1.69,0.534,3.1,2.88
95824,Sacramento,38.51,-121.45,63.6,4960,10.69,1.65,0.635,5.3,3.87
95815,Sacramento,38.51,-121.46,54.4,7120,9.15,1.95,0.617,4.9,3.64
95838,Sacramento,38.63,-121.45,65.5,5696,11.37,1.8,0.671,3.7,3.59
95240,Sacramento,38.12,-121.25,60.2,7022,10.19,1.88,0.552,3.5,3.13
