tract_id,region,pollution_burden,traffic_density,pm25,diesel_pm,disadvantaged_share
06019000100,Central Valley,86,9100,13.8,1.9,0.74
06019000200,Central Valley,79,8400,12.9,1.7,0.69
06019000300,Central Valley,82,8800,13.2,1.8,0.71
06071000100,Inland Empire,88,9600,14.1,2.0,0.77
06071000200,Inland Empire,85,9200,13.7,1.9,0.73
06071000300,Inland Empire,81,8700,13.0,1.6,0.68
06001000100,Bay Area,64,6200,10.4,1.2,0.41
06001000200,Bay Area,59,5700,9.8,1.1,0.36
06001000300,Bay Area,62,6000,10.1,1.2,0.39
06037000100,Los Angeles,76,8100,12.4,1.5,0.58
06037000200,Los Angeles,73,7900,12.0,1.4,0.55
06037000300,Los Angeles,71,7600,11.6,1.3,0.52
