year,state,vmt_per_capita
2008,CA,24.8
2010,CA,24.9
2012,CA,25.1
2014,CA,25.2
2016,CA,25.3
2018,CA,25.1
2020,CA,24.9
2022,CA,25.2
2008,CO,23.4
2010,CO,23.7
2012,CO,24.0
2014,CO,24.3
2016,CO,24.6
2018,CO,24.7
2020,CO,24.6
2022,CO,24.9
2008,MA,20.1
2010,MA,20.0
2012,MA,19.8
2014,MA,19.6
2016,MA,19.4
2018,MA,19.2
2020,MA,18.9
2022,MA,18.7
2008,MN,22.8
2010,MN,22.9
2012,MN,23.0
2014,MN,22.8
2016,MN,22.7
2018,MN,22.5
2020,MN,22.2
2022,MN,22.1
2008,VA,23.9
2010,VA,24.0
2012,VA,24.2
2014,VA,24.1
2016,VA,24.0
2018,VA,23.8
2020,VA,23.5
2022,VA,23.4
