year,scenario,ghg_index
2025,california_today_bau,100.0
2025,massachusetts_style_annual_cap_ceiling,100.0
2025,colorado_budget_lock,100.0
2025,minnesota_capacity_trigger,100.0
2025,virginia_scoring,100.0
2025,massachusetts_caps,100.0
2025,combined_approach,100.0
2030,california_today_bau,96.06
2030,massachusetts_style_annual_cap_ceiling,89.93
2030,colorado_budget_lock,91.78
2030,minnesota_capacity_trigger,92.49
2030,virginia_scoring,93.19
2030,massachusetts_caps,91.09
2030,combined_approach,88.34
2035,california_today_bau,92.28
2035,massachusetts_style_annual_cap_ceiling,80.88
2035,colorado_budget_lock,84.24
2035,minnesota_capacity_trigger,85.54
2035,virginia_scoring,86.85
2035,massachusetts_caps,82.97
2035,combined_approach,78.03
2040,california_today_bau,88.65
2040,massachusetts_style_annual_cap_ceiling,72.73
2040,colorado_budget_lock,77.32
2040,minnesota_capacity_trigger,79.11
2040,virginia_scoring,80.94
2040,massachusetts_caps,75.57
2040,combined_approach,68.93
2045,california_today_bau,85.16
2045,massachusetts_style_annual_cap_ceiling,65.41
2045,colorado_budget_lock,70.97
2045,minnesota_capacity_trigger,73.17
2045,virginia_scoring,75.43
2045,massachusetts_caps,68.83
2045,combined_approach,60.89
