year,transport_ghg_mmt,passenger_vehicles_mmt,heavy_duty_mmt,other_transport_mmt
2000,170.2,120.5,38.1,11.6
2001,172.4,121.8,38.9,11.7
2002,175.6,124.0,39.7,11.9
2003,177.8,125.4,40.3,12.1
2004,180.3,127.1,41.0,12.2
2005,182.1,128.5,41.5,12.1
2006,182.8,128.9,41.7,12.2
2007,181.5,127.8,41.5,12.2
2008,174.6,122.4,40.0,12.2
2009,168.2,118.0,38.5,11.7
2010,169.5,118.9,38.8,11.8
2011,168.9,118.4,38.7,11.8
2012,170.1,119.1,39.1,11.9
2013,171.3,119.9,39.5,11.9
2014,172.8,120.8,40.0,12.0
2015,176.4,123.2,40.8,12.4
2016,179.8,125.5,41.5,12.8
2017,181.2,126.4,41.8,13.0
2018,183.4,127.6,42.4,13.4
2019,184.2,128.0,42.7,13.5
2020,158.6,110.1,36.5,12.0
2021,175.8,122.0,40.8,13.0
2022,179.6,124.5,41.8,13.3
