year,state,ghg_per_capita_tonnes
2008,California,4.62
2009,California,4.48
2010,California,4.44
2011,California,4.40
2012,California,4.41
2013,California,4.42
2014,California,4.44
2015,California,4.50
2016,California,4.56
2017,California,4.58
2018,California,4.62
2019,California,4.63
2020,California,3.95
2021,California,4.46
2022,California,4.55
2008,Colorado,5.18
2009,Colorado,5.04
2010,Colorado,4.98
2011,Colorado,4.92
2012,Colorado,4.84
2013,Colorado,4.78
2014,Colorado,4.72
2015,Colorado,4.66
2016,Colorado,4.58
2017,Colorado,4.52
2018,Colorado,4.46
2019,Colorado,4.41
2020,Colorado,3.76
2021,Colorado,4.30
2022,Colorado,4.25
2008,Massachusetts,3.24
2009,Massachusetts,3.16
2010,Massachusetts,3.12
2011,Massachusetts,3.08
2012,Massachusetts,3.05
2013,Massachusetts,3.01
2014,Massachusetts,2.98
2015,Massachusetts,2.95
2016,Massachusetts,2.92
2017,Massachusetts,2.89
2018,Massachusetts,2.86
2019,Massachusetts,2.84
2020,Massachusetts,2.42
2021,Massachusetts,2.72
2022,Massachusetts,2.76
2008,Minnesota,4.82
2009,Minnesota,4.68
2010,Minnesota,4.62
2011,Minnesota,4.56
2012,Minnesota,4.51
2013,Minnesota,4.46
2014,Minnesota,4.42
2015,Minnesota,4.38
2016,Minnesota,4.34
2017,Minnesota,4.30
2018,Minnesota,4.26
2019,Minnesota,4.22
2020,Minnesota,3.60
2021,Minnesota,4.14
2022,Minnesota,4.18
2008,Virginia,5.48
2009,Virginia,5.32
2010,Virginia,5.26
2011,Virginia,5.20
2012,Virginia,5.14
2013,Virginia,5.08
2014,Virginia,5.02
2015,Virginia,4.97
2016,Virginia,4.94
2017,Virginia,4.90
2018,Virginia,4.86
2019,Virginia,4.82
2020,Virginia,4.10
2021,Virginia,4.68
2022,Virginia,4.74
