year,state,vmt_per_capita
2008,California,9060
2009,California,8820
2010,California,8760
2011,California,8700
2012,California,8710
2013,California,8740
2014,California,8780
2015,California,8890
2016,California,9020
2017,California,9050
2018,California,9100
2019,California,9140
2020,California,7780
2021,California,8810
2022,California,8960
2008,Colorado,9820
2009,Colorado,9540
2010,Colorado,9480
2011,Colorado,9420
2012,Colorado,9350
2013,Colorado,9280
2014,Colorado,9220
2015,Colorado,9160
2016,Colorado,9080
2017,Colorado,9010
2018,Colorado,8950
2019,Colorado,8900
2020,Colorado,7620
2021,Colorado,8560
2022,Colorado,8620
2008,Massachusetts,6240
2009,Massachusetts,6080
2010,Massachusetts,6020
2011,Massachusetts,5980
2012,Massachusetts,5940
2013,Massachusetts,5900
2014,Massachusetts,5870
2015,Massachusetts,5840
2016,Massachusetts,5820
2017,Massachusetts,5800
2018,Massachusetts,5780
2019,Massachusetts,5760
2020,Massachusetts,4920
2021,Massachusetts,5540
2022,Massachusetts,5620
2008,Minnesota,9340
2009,Minnesota,9100
2010,Minnesota,9040
2011,Minnesota,8980
2012,Minnesota,8920
2013,Minnesota,8870
2014,Minnesota,8820
2015,Minnesota,8780
2016,Minnesota,8730
2017,Minnesota,8690
2018,Minnesota,8650
2019,Minnesota,8610
2020,Minnesota,7340
2021,Minnesota,8320
2022,Minnesota,8400
2008,Virginia,10560
2009,Virginia,10280
2010,Virginia,10200
2011,Virginia,10120
2012,Virginia,10040
2013,Virginia,9970
2014,Virginia,9900
2015,Virginia,9840
2016,Virginia,9800
2017,Virginia,9760
2018,Virginia,9720
2019,Virginia,9680
2020,Virginia,8240
2021,Virginia,9360
2022,Virginia,9480
