tract_id,region_id,vmt_per_capita
06083002103,SBCAG,21.9
06083002402,SBCAG,21.9
06083002102,SBCAG,21.9
06083002010,SBCAG,21.9
06083002009,SBCAG,21.9
06083002008,SBCAG,21.9
06083002007,SBCAG,21.9
06011000500,Colusa_RTPA,30.2
06011000200,Colusa_RTPA,30.2
06011000400,Colusa_RTPA,30.2
06011000300,Colusa_RTPA,30.2
06011000100,Colusa_RTPA,30.2
06103000500,TCAG,28.5
06103000600,TCAG,28.5
06103000200,TCAG,28.5
06103000800,TCAG,28.5
06103000700,TCAG,28.5
06103000900,TCAG,28.5
06103000300,TCAG,28.5
06103000100,TCAG,28.5
06103001000,TCAG,28.5
06103000400,TCAG,28.5
06103001100,TCAG,28.5
06083980100,SBCAG,21.9
06083980000,SBCAG,21.9
06083001704,SBCAG,21.9
06083002915,SBCAG,21.9
06083002606,SBCAG,21.9
06083003102,SBCAG,21.9
06083003007,SBCAG,21.9
06083002932,SBCAG,21.9
06083002930,SBCAG,21.9
06083002928,SBCAG,21.9
06083002926,SBCAG,21.9
06083002924,SBCAG,21.9
06083002922,SBCAG,21.9
06083002502,SBCAG,21.9
06083001706,SBCAG,21.9
06083001604,SBCAG,21.9
06083001402,SBCAG,21.9
06083001306,SBCAG,21.9
06083001304,SBCAG,21.9
06083001208,SBCAG,21.9
06083001206,SBCAG,21.9
06083000804,SBCAG,21.9
06083000302,SBCAG,21.9
06083000301,SBCAG,21.9
06083002006,SBCAG,21.9
06083002005,SBCAG,21.9
06083002012,SBCAG,21.9
06083001203,SBCAG,21.9
06083001102,SBCAG,21.9
06083001000,SBCAG,21.9
06083000900,SBCAG,21.9
06083000801,SBCAG,21.9
06083000600,SBCAG,21.9
06083000400,SBCAG,21.9
06083003005,SBCAG,21.9
06083003004,SBCAG,21.9
06083003001,SBCAG,21.9
06083002914,SBCAG,21.9
06083002913,SBCAG,21.9
06083002909,SBCAG,21.9
06083002907,SBCAG,21.9
06083002906,SBCAG,21.9
06083001500,SBCAG,21.9
06083000700,SBCAG,21.9
06083000502,SBCAG,21.9
06083000501,SBCAG,21.9
06083000200,SBCAG,21.9
06083000103,SBCAG,21.9
06083000102,SBCAG,21.9
06083000101,SBCAG,21.9
06083002708,SBCAG,21.9
06083002707,SBCAG,21.9
06083002706,SBCAG,21.9
06083002705,SBCAG,21.9
06083001101,SBCAG,21.9
06083002702,SBCAG,21.9
06083002809,SBCAG,21.9
06083002808,SBCAG,21.9
06083002806,SBCAG,21.9
06083002802,SBCAG,21.9
06083002703,SBCAG,21.9
06083001800,SBCAG,21.9
06083002604,SBCAG,21.9
06083001601,SBCAG,21.9
06083002011,SBCAG,21.9
06083002013,SBCAG,21.9
06083002305,SBCAG,21.9
06083002306,SBCAG,21.9
06083001906,SBCAG,21.9
06083001905,SBCAG,21.9
06083001903,SBCAG,21.9
06083001901,SBCAG,21.9
06083002101,SBCAG,21.9
06083002404,SBCAG,21.9
06083002403,SBCAG,21.9
06083002304,SBCAG,21.9
06083002303,SBCAG,21.9
06083002209,SBCAG,21.9
06083002211,SBCAG,21.9
06083002206,SBCAG,21.9
06083002205,SBCAG,21.9
06083002210,SBCAG,21.9
06025011802,SCAG,22.8
06025011700,SCAG,22.8
06025011600,SCAG,22.8
06025011500,SCAG,22.8
06025011400,SCAG,22.8
06025011803,SCAG,22.8
06025010500,SCAG,22.8
06025010400,SCAG,22.8
06025010300,SCAG,22.8
06053014700,AMBAG,23.5
06025012001,SCAG,22.8
06025010101,SCAG,22.8
06025012002,SCAG,22.8
06025010102,SCAG,22.8
06025010200,SCAG,22.8
06025940000,SCAG,22.8
06025012302,SCAG,22.8
06025012301,SCAG,22.8
06025011000,SCAG,22.8
06025010900,SCAG,22.8
06025011801,SCAG,22.8
06025011300,SCAG,22.8
06025011202,SCAG,22.8
06025011201,SCAG,22.8
06025011100,SCAG,22.8
06025012400,SCAG,22.8
06025012200,SCAG,22.8
06025012100,SCAG,22.8
06025011900,SCAG,22.8
06025010800,SCAG,22.8
06025010700,SCAG,22.8
06025010600,SCAG,22.8
06053014500,AMBAG,23.5
06053014800,AMBAG,23.5
06053011203,AMBAG,23.5
06053011801,AMBAG,23.5
06053014104,AMBAG,23.5
06053010607,AMBAG,23.5
06053014201,AMBAG,23.5
06053014202,AMBAG,23.5
06053012502,AMBAG,23.5
06053011802,AMBAG,23.5
06053011303,AMBAG,23.5
06053011304,AMBAG,23.5
06053011204,AMBAG,23.5
06053011604,AMBAG,23.5
06053011602,AMBAG,23.5
06053011502,AMBAG,23.5
06053011101,AMBAG,23.5
06053010505,AMBAG,23.5
06053014601,AMBAG,23.5
06053980000,AMBAG,23.5
06053000701,AMBAG,23.5
06053000501,AMBAG,23.5
06053000502,AMBAG,23.5
06053001802,AMBAG,23.5
06005000304,ACTC,28.0
06005000101,ACTC,28.0
06005000303,ACTC,28.0
06005000102,ACTC,28.0
06005000402,ACTC,28.0
06005000500,ACTC,28.0
06005000401,ACTC,28.0
06005000301,ACTC,28.0
06005000200,ACTC,28.0
06053001801,AMBAG,23.5
06053000702,AMBAG,23.5
06053010506,AMBAG,23.5
06053010608,AMBAG,23.5
06053014105,AMBAG,23.5
06053014107,AMBAG,23.5
06053010804,AMBAG,23.5
06053010306,AMBAG,23.5
06053010702,AMBAG,23.5
06053010606,AMBAG,23.5
06053011400,AMBAG,23.5
06053010701,AMBAG,23.5
06053013900,AMBAG,23.5
06053013800,AMBAG,23.5
06053013700,AMBAG,23.5
06053013600,AMBAG,23.5
06053013500,AMBAG,23.5
06053012402,AMBAG,23.5
06053012200,AMBAG,23.5
06053012100,AMBAG,23.5
06053012000,AMBAG,23.5
06053013100,AMBAG,23.5
06053013000,AMBAG,23.5
06053012302,AMBAG,23.5
06053012700,AMBAG,23.5
06053012401,AMBAG,23.5
06053013400,AMBAG,23.5
06053014302,AMBAG,23.5
06053014301,AMBAG,23.5
06053014000,AMBAG,23.5
06061023200,SACOG,24.3
06061023700,SACOG,24.3
06053013300,AMBAG,23.5
06053013200,AMBAG,23.5
06053012800,AMBAG,23.5
06053012600,AMBAG,23.5
06053011900,AMBAG,23.5
06053000102,AMBAG,23.5
06053001700,AMBAG,23.5
06053001400,AMBAG,23.5
06053001300,AMBAG,23.5
06053001200,AMBAG,23.5
06061023900,SACOG,24.3
06061023300,SACOG,24.3
06061023400,SACOG,24.3
06061023600,SACOG,24.3
06061022900,SACOG,24.3
06053000800,AMBAG,23.5
06053000600,AMBAG,23.5
06053000400,AMBAG,23.5
06053000300,AMBAG,23.5
06053000200,AMBAG,23.5
06053010504,AMBAG,23.5
06053010605,AMBAG,23.5
06053010501,AMBAG,23.5
06053001600,AMBAG,23.5
06053001500,AMBAG,23.5
06053000900,AMBAG,23.5
06061023100,SACOG,24.3
06061023000,SACOG,24.3
06061022600,SACOG,24.3
06061022500,SACOG,24.3
06061022800,SACOG,24.3
06053000101,AMBAG,23.5
06053000103,AMBAG,23.5
06053010101,AMBAG,23.5
06053010604,AMBAG,23.5
06053010603,AMBAG,23.5
06053010202,AMBAG,23.5
06053010102,AMBAG,23.5
06053010305,AMBAG,23.5
06053011302,AMBAG,23.5
06053011202,AMBAG,23.5
06053010900,AMBAG,23.5
06061022400,SACOG,24.3
06061023800,SACOG,24.3
06061023500,SACOG,24.3
06061022200,SACOG,24.3
06061022100,SACOG,24.3
06061022300,SACOG,24.3
06061021203,SACOG,24.3
06061021045,SACOG,24.3
06061021043,SACOG,24.3
06061020401,SACOG,24.3
06061020710,SACOG,24.3
06053014102,AMBAG,23.5
06053010400,AMBAG,23.5
06053000104,AMBAG,23.5
06053011000,AMBAG,23.5
06053011102,AMBAG,23.5
06053011700,AMBAG,23.5
06061021037,SACOG,24.3
06061021128,SACOG,24.3
06061021122,SACOG,24.3
06061021403,SACOG,24.3
06061021603,SACOG,24.3
06061021130,SACOG,24.3
06061021309,SACOG,24.3
06061021131,SACOG,24.3
06061021039,SACOG,24.3
06061021044,SACOG,24.3
06061021035,SACOG,24.3
06061021034,SACOG,24.3
06061021046,SACOG,24.3
06061020908,SACOG,24.3
06061021038,SACOG,24.3
06061021040,SACOG,24.3
06061021322,SACOG,24.3
06061021129,SACOG,24.3
06061020714,SACOG,24.3
06009000503,CCOG,27.8
06009000501,CCOG,27.8
06009000121,CCOG,27.8
06009000504,CCOG,27.8
06009000122,CCOG,27.8
06009000400,CCOG,27.8
06009000300,CCOG,27.8
06009000220,CCOG,27.8
06009000120,CCOG,27.8
06009000210,CCOG,27.8
06061020715,SACOG,24.3
06061020713,SACOG,24.3
06061020805,SACOG,24.3
06061020712,SACOG,24.3
06061020711,SACOG,24.3
06061020806,SACOG,24.3
06061020717,SACOG,24.3
06061021604,SACOG,24.3
06061021123,SACOG,24.3
06061021204,SACOG,24.3
06061020501,SACOG,24.3
06061020502,SACOG,24.3
06061020402,SACOG,24.3
06061022013,SACOG,24.3
06061022011,SACOG,24.3
06061022014,SACOG,24.3
06061021106,SACOG,24.3
06061021103,SACOG,24.3
06061020104,SACOG,24.3
06061020604,SACOG,24.3
06061021501,SACOG,24.3
06051000101,Mono_RTPA,29.8
06051000102,Mono_RTPA,29.8
06051000200,Mono_RTPA,29.8
06061021901,SACOG,24.3
06061020606,SACOG,24.3
06061021304,SACOG,24.3
06061020901,SACOG,24.3
06061021108,SACOG,24.3
06061021109,SACOG,24.3
06061020105,SACOG,24.3
06061020107,SACOG,24.3
06061021401,SACOG,24.3
06061020601,SACOG,24.3
06061021003,SACOG,24.3
06061020602,SACOG,24.3
06061021802,SACOG,24.3
06061021902,SACOG,24.3
06061022002,SACOG,24.3
06061021801,SACOG,24.3
06061020200,SACOG,24.3
06061021502,SACOG,24.3
06061020605,SACOG,24.3
06061020300,SACOG,24.3
06061020106,SACOG,24.3
06059062640,SCAG,22.8
06059062641,SCAG,22.8
06059062642,SCAG,22.8
06059062643,SCAG,22.8
06059062644,SCAG,22.8
06059062645,SCAG,22.8
06059062646,SCAG,22.8
06059062647,SCAG,22.8
06059099251,SCAG,22.8
06059099305,SCAG,22.8
06059099306,SCAG,22.8
06059099307,SCAG,22.8
06059099308,SCAG,22.8
06059076208,SCAG,22.8
