year,scenario,vmt_index
2025,california_today_bau,108.0
2025,ca_29pct_target_path,108.0
2025,colorado_budget_lock,108.0
2025,minnesota_capacity_trigger,108.0
2025,virginia_scoring,108.0
2025,massachusetts_caps,108.0
2025,combined_approach,108.0
2030,california_today_bau,110.2
2030,ca_29pct_target_path,98.8
2030,colorado_budget_lock,105.9
2030,minnesota_capacity_trigger,106.9
2030,virginia_scoring,108.0
2030,massachusetts_caps,104.8
2030,combined_approach,100.6
2035,california_today_bau,112.4
2035,ca_29pct_target_path,89.5
2035,colorado_budget_lock,103.8
2035,minnesota_capacity_trigger,105.9
2035,virginia_scoring,108.0
2035,massachusetts_caps,101.7
2035,combined_approach,93.8
2040,california_today_bau,114.7
2040,ca_29pct_target_path,80.2
2040,colorado_budget_lock,101.7
2040,minnesota_capacity_trigger,104.8
2040,virginia_scoring,108.0
2040,massachusetts_caps,98.7
2040,combined_approach,87.4
2045,california_today_bau,117.0
2045,ca_29pct_target_path,71.0
2045,colorado_budget_lock,99.7
2045,minnesota_capacity_trigger,103.8
2045,virginia_scoring,108.0
2045,massachusetts_caps,95.8
2045,combined_approach,81.5
